Marca temporal,¿Preferirías vivir de alquiler o compra?,¿Cuántos años tienes?,¿Cuál es tu género?,Selecciona los distritos dónde buscarías actualmente casa (se pueden marcar hasta 5 opciones):,¿En qué estado prefieres la vivienda? (puedes seleccionar varias opciones),¿Qué aspectos son para ti más importantes a la hora de buscar vivienda? (puedes marcar hasta 5 opciones),¿En qué planta te gustaría vivir?,¿Prefieres vivir solo o acompañado?,¿Cuántas habitaciones buscas?,¿Cuántos baños necesitas?,¿Cuánto dinero al mes estarías dispuesto a destinar (entre tú y las personas con las que vivirías para pagar la vivienda si decidieras convivir)?,"Si compraras una casa, ¿durante cuántos años estarías dispuesto a hipotecarte?",¿Cuántos m2 buscas?
9/01/2024 21:08:44,Compra,Entre 25 y 30,Masculino,Fuencarral-El Pardo,En buen estado,"Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Casa/Chalet",Con mi pareja,2,1,800-1000 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
9/01/2024 21:25:04,Compra,Entre 30 y 40,Masculino,Hortaleza,A reformar,"Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Plantas intermedias,Con mi pareja,2,1,600-800 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
9/01/2024 21:35:39,Compra,Entre 30 y 40,Femenino,"Centro, Retiro, B.Salamanca",Nueva,"Buen transporte público, Terraza, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Ático,Con mi pareja,3,2,800-1000 €/mes,menos de 20,entre 90 m2 y 120 m2
9/01/2024 21:39:11,Compra,Entre 25 y 30,Femenino,"Retiro, B.Salamanca, Fuencarral-El Pardo, Hortaleza, Barajas",En buen estado,"Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior","Ático, Casa/Chalet",Con mi pareja,3,2,400-600 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
9/01/2024 21:39:24,Compra,Entre 30 y 40,Femenino,"Chamberí, Moncloa-Aravaca, Ciudad Lineal",En buen estado,"Buen transporte público, Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Trastero",Plantas intermedias,Con mi pareja,3,2,1000-1500 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
9/01/2024 21:40:07,Compra,Entre 30 y 40,Femenino,"Centro, Hortaleza, San Blás-Canillejas, Barajas","A reformar, En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados, Vivienda accesible","Ático, Casa/Chalet",Con mi pareja,3,2,800-1000 €/mes,entre 20 y 25,más de 120 m2
9/01/2024 21:40:24,Compra,Entre 30 y 40,Femenino,"Retiro, B.Salamanca, Tetuán, Chamberí, Moncloa-Aravaca",Nueva,"Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Armarios empotrados",Ático,Solo,1,1,1000-1500 €/mes,entre 25 y 30,entre 50 m2 y 70 m2
9/01/2024 21:41:39,Compra,Entre 25 y 30,Femenino,"Centro, Chamberí, Moncloa-Aravaca, Latina, Carabanchel",En buen estado,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Ático",Con mi pareja,2,2,800-1000 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
9/01/2024 21:42:30,Compra,Entre 30 y 40,Femenino,"Centro, Retiro, B.Salamanca, Chamberí, Fuencarral-El Pardo","A reformar, En buen estado","Buen transporte público, Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático",Con mi pareja,"2, 3",2,1500-2000 €/mes,No lo tengo claro,entre 70 m2 y 90 m2
9/01/2024 21:47:03,Compra,Entre 30 y 40,Femenino,Fuencarral-El Pardo,En buen estado,"Buen transporte público, Ascensor, Piscina, Garaje, Exterior","Plantas intermedias, Ático",Con mi pareja,3,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
